PasswordLength	DistinctPasswords	DistinctEmailDomain	DistinctEmails	TotalCount
6	88573019	145292205	197625448	197625448
7	98472357	140926082	173206656	173206656
8	225238280	293375531	331599690	331599690
9	101889914	135110968	155991336	155991336
10	122724252	149603233	164837299	164837299
11	30137025	39982292	42419776	42419776
12	21360053	28423887	30109078	30109078
13	11706077	15397072	16063998	16063998
14	8375177	11104867	11590256	11590256
15	12638936	14533050	14851668	14851668
16	5137608	6531340	6771217	6771217
17	1582420	2199646	2282325	2282325
18	1429982	1982278	2120406	2120406
19	878806	1201651	1247370	1247370
20	1063841	1406483	1473481	1473481
21	513143	679831	738393	738393
22	496100	633062	656718	656718
23	340259	439558	447269	447269
24	380465	471509	503721	503721
25	256995	339699	345770	345770
26	267832	305427	328856	328856
27	174004	201964	220382	220382
28	185307	212016	218868	218868
29	153418	179965	183515	183515
30	164180	192876	224087	224087
31	114549	130568	131473	131473
32	1580572	1979928	2062520	2062520
33	69615	81134	86775	86775
34	131524	140544	140931	140931
35	58981	66021	66531	66531
36	54649	60872	64716	64716
37	36626	40722	40987	40987
38	34530	37482	38286	38286
39	25931	29076	33600	33600
40	117026	131558	134914	134914
41	16914	17972	18005	18005
42	21086	24281	26149	26149
43	12400	13049	13070	13070
44	10587	11144	11186	11186
45	7585	8408	9635	9635
46	7693	8090	8103	8103
47	5109	5438	5457	5457
48	5902	6672	7796	7796
49	4170	4723	4729	4729
50	5105	5987	6011	6011
51	3504	4012	4581	4581
52	3548	3917	3920	3920
53	3115	3444	3450	3450
54	3855	4413	4858	4858
55	3710	3986	3986	3986
56	3802	4119	4156	4156
57	3511	3928	4231	4231
58	3741	4008	4013	4013
59	3712	3985	3987	3987
60	4707	5481	6743	6743
61	3891	4142	4144	4144
62	4088	4302	4303	4303
63	4630	4894	4930	4930
64	4742	5029	5055	5055
65	4090	4280	4282	4282
66	4316	4541	4592	4592
67	3764	3935	3935	3935
68	3435	3558	3558	3558
69	3109	3235	3242	3242
70	2911	3019	3021	3021
71	2370	2453	2453	2453
72	2278	2366	2380	2380
73	1844	1919	1919	1919
74	1580	1642	1642	1642
75	1452	1520	1525	1525
76	1269	1319	1319	1319
77	1180	1211	1211	1211
78	1581	1627	1637	1637
79	1204	1234	1234	1234
80	1028	1047	1048	1048
81	862	882	883	883
82	784	802	802	802
83	533	560	560	560
84	554	580	587	587
85	430	446	446	446
86	334	360	360	360
87	293	301	303	303
88	3035	3048	3235	3235
89	263	277	277	277
90	324	377	381	381
91	250	269	269	269
92	250	263	263	263
93	271	294	294	294
94	207	221	221	221
95	200	204	204	204
96	305	318	319	319
97	199	204	204	204
98	212	235	235	235
99	163	170	170	170
100	183	190	190	190
101	166	170	170	170
102	160	166	168	168
103	122	134	134	134
104	154	156	156	156
105	148	157	157	157
106	108	109	109	109
107	85	90	90	90
108	93	95	95	95
109	75	79	79	79
110	60	62	62	62
111	68	69	69	69
112	90	91	91	91
113	57	57	57	57
114	49	50	51	51
115	33	35	35	35
116	35	35	35	35
117	42	45	45	45
118	34	34	34	34
119	43	44	44	44
120	38	43	45	45
121	32	32	32	32
122	36	41	41	41
123	22	22	22	22
124	34	35	35	35
125	33	33	33	33
126	32	32	32	32
127	33	33	33	33
128	9735	10444	10587	10587
129	20	20	20	20
130	34	34	34	34
131	22	24	24	24
132	21	21	21	21
133	38	39	39	39
134	21	21	21	21
135	18	18	18	18
136	16	19	19	19
137	9	9	9	9
138	12	12	12	12
139	13	13	13	13
140	13	14	14	14
141	21	22	22	22
142	15	16	16	16
143	6	6	6	6
144	10	11	11	11
145	16	16	16	16
146	9	9	9	9
147	10	10	10	10
148	7	7	7	7
149	4	4	4	4
150	13	13	13	13
151	8	8	8	8
152	12	12	12	12
153	8	8	8	8
154	14	14	14	14
155	6	6	6	6
156	11	11	11	11
157	10	11	11	11
158	5	5	5	5
159	4	4	4	4
160	7	7	7	7
161	4	4	4	4
162	4	4	4	4
163	5	5	5	5
164	6	6	6	6
165	3	3	3	3
166	1	1	1	1
167	5	5	5	5
168	12	12	12	12
169	3	3	3	3
170	3	3	3	3
171	4	4	4	4
172	47	47	47	47
173	3	3	3	3
174	3	3	3	3
175	2	2	2	2
176	6	6	6	6
177	4	4	4	4
178	2	2	2	2
179	1	1	1	1
180	18	20	20	20
181	2	2	2	2
182	5	6	6	6
183	7	7	7	7
184	10	11	11	11
185	2	2	2	2
186	4	4	4	4
187	5	5	5	5
188	4	4	4	4
189	4	4	4	4
190	3	3	3	3
191	3	3	3	3
192	4	4	4	4
193	1	1	1	1
194	3	3	3	3
195	10	10	10	10
196	3	3	3	3
197	4	4	4	4
198	2	2	2	2
199	8	8	8	8
200	5	5	5	5
201	2	2	2	2
202	3	4	4	4
203	3	3	3	3
204	3	3	3	3
205	3	3	3	3
206	6	6	6	6
207	1	1	1	1
208	2	2	2	2
209	4	4	4	4
210	16	19	23	23
211	8	8	8	8
212	2	2	2	2
213	4	4	4	4
214	5	5	5	5
215	3	3	3	3
216	3	3	3	3
217	1	1	1	1
218	3	3	3	3
219	3	3	3	3
220	6	6	6	6
221	1	1	1	1
222	1	1	1	1
223	4	4	4	4
224	5	5	5	5
225	4	4	4	4
226	3	4	4	4
227	1	1	1	1
228	2	2	2	2
229	3	3	3	3
230	3	3	3	3
231	2	2	2	2
232	4	5	5	5
233	6	6	6	6
234	1	1	1	1
236	8	8	8	8
237	2	2	2	2
238	4	4	4	4
239	3	3	3	3
240	18	19	20	20
241	3	3	3	3
242	6	6	6	6
243	4	4	4	4
244	3	3	3	3
245	4	4	4	4
246	2	2	2	2
247	5	5	5	5
248	2	2	2	2
249	3	3	3	3
250	5	5	5	5
251	5	5	5	5
252	2	2	2	2
253	4	4	4	4
254	2	2	2	2
255	36	36	36	36
256	4	4	4	4
258	4	4	4	4
259	3	3	3	3
260	1	1	1	1
261	4	4	4	4
262	4	4	4	4
263	2	2	2	2
264	2	2	2	2
265	3	3	3	3
266	2	2	2	2
267	3	4	4	4
268	1	1	1	1
269	4	4	4	4
270	7	7	7	7
271	2	2	2	2
272	4	4	4	4
273	3	3	3	3
274	3	3	3	3
275	2	2	2	2
279	2	2	2	2
281	2	2	2	2
282	1	1	1	1
283	2	2	2	2
284	1	1	1	1
285	1	1	1	1
286	4	4	4	4
288	1	1	1	1
289	1	1	1	1
292	3	3	3	3
294	1	1	1	1
295	1	1	1	1
297	1	1	1	1
298	2	2	2	2
299	1	1	1	1
300	5	5	5	5
301	1	1	1	1
302	3	3	3	3
303	2	2	2	2
304	1	1	1	1
305	1	1	1	1
307	1	1	1	1
308	2	2	2	2
309	2	2	2	2
311	1	1	1	1
312	1	1	1	1
313	1	1	1	1
314	2	2	2	2
315	2	2	2	2
323	2	2	2	2
324	1	1	1	1
326	1	1	1	1
327	3	3	3	3
330	8	8	8	8
332	2	2	2	2
334	1	1	1	1
336	1	1	1	1
337	1	1	1	1
339	1	1	1	1
343	2	2	2	2
344	2	2	2	2
352	1	1	1	1
354	1	1	1	1
358	1	1	1	1
360	3	3	3	3
363	2	2	2	2
364	1	1	1	1
365	1	1	1	1
368	4	4	4	4
370	2	2	2	2
375	1	1	1	1
376	1	1	1	1
381	1	1	1	1
382	2	2	2	2
383	1	1	1	1
387	1	1	1	1
390	1	1	1	1
398	1	1	1	1
399	1	1	1	1
400	1	1	1	1
408	1	1	1	1
409	1	1	1	1
410	1	1	1	1
425	2	2	2	2
428	1	1	1	1
429	1	1	1	1
434	2	2	2	2
435	1	1	1	1
442	2	3	3	3
466	1	1	1	1
481	1	1	1	1
489	1	1	1	1
511	1	1	1	1
512	1	1	1	1
517	1	1	1	1
