Date,EventId,AccountNtDomain,AccountName,logontype,TotalLogons
1/3/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-01,10,28
1/3/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-01,11,2
1/3/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-01,2,15592
1/3/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-01,4,259
1/3/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-01,7,9
1/3/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-01,10,1
1/3/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-01,4,23
1/3/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-02,3,65
1/3/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-02,3,7
1/3/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-02,5,60
1/3/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-02,3,10
1/3/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,ASHWIN,10,4
1/3/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,ASHWIN,11,1
1/3/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,ASHWIN,2,1398
1/3/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,ASHWIN,2,59
1/3/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,ERIC,3,9
1/3/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,ERIC,2,713
1/3/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,ERIC,3,338426
1/3/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,ERIC,3,38
1/3/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,ERIC,5,62
1/3/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,JAMES,2,112262
1/3/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,JAMES,4,25
1/3/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,JAMES,5,2
1/3/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,JAMES,8,5
1/4/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-01,10,18
1/4/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-01,2,11642
1/4/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-01,4,243
1/4/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-01,4,21
1/4/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,ASHWIN,2,1402
1/4/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,ASHWIN,2,14
1/4/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,ERIC,3,10
1/4/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,ERIC,2,569
1/4/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,ERIC,3,307783
1/4/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,ERIC,3,29
1/4/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,ERIC,5,59
1/4/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,JAMES,2,110736
1/4/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,JAMES,4,21
1/4/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,JAMES,8,5
1/5/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-01,10,56
1/5/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-01,11,3
1/5/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-01,2,13412
1/5/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-01,4,244
1/5/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-01,7,1
1/5/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-01,10,2
1/5/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-01,4,24
1/5/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-02,3,49
1/5/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-02,5,16
1/5/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-02,3,2
1/5/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,ASHWIN,2,2215
1/5/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,ASHWIN,2,26
1/5/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,ERIC,3,151996
1/5/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,ERIC,10,12
1/5/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,ERIC,2,792
1/5/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,ERIC,3,288043
1/5/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,ERIC,3,261
1/5/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,ERIC,5,40
1/5/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,ERIC,3,5
1/5/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,JAMES,2,8
1/5/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,JAMES,8,43
1/5/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,JAMES,2,88440
1/5/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,JAMES,4,45
1/5/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,JAMES,5,2
1/5/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,JAMES,8,3
1/6/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-01,10,32
1/6/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-01,11,9
1/6/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-01,2,14279
1/6/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-01,4,61
1/6/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-01,10,1
1/6/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-01,4,23
1/6/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-02,3,285
1/6/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-02,3,328
1/6/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-02,5,39
1/6/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-02,3,9
1/6/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,SRVACCNT-02,3,73
1/6/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,ASHWIN,10,4
1/6/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,ASHWIN,2,1826
1/6/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,ERIC,3,214842
1/6/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,ERIC,10,4
1/6/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,ERIC,2,855
1/6/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,ERIC,3,349356
1/6/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,ERIC,7,2
1/6/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,ERIC,3,146
1/6/2018,Microsoft-Windows-Security-Auditing:4624,LABDOMAIN.LOCAL,ERIC,5,57
